air_date,round,category,value,question,answer
3/26/99,Final Jeopardy!,AMERICAN HISTORY,,"As minister to Mexico, he was authorized by President Pierce to buy border land for the railroads",James Gadsden
12/15/92,Final Jeopardy!,ANATOMY,,"You have this bone, snakes don't, & in bats, it's keeled",a breastbone or sternum
11/25/98,Final Jeopardy!,FRENCH LITERATURE,,"Written in exile in Turin & Brussels in the 1850s, his ""The Royal House of Savoy"", was finally published in France in 1998","Alexandre Dumas (pere, the father)"
11/21/85,Final Jeopardy!,THE SUPREME COURT,,This president appointed more Supreme Court justices than any other,George Washington
1/29/96,Final Jeopardy!,HISTORIANS,,"In 1962 she said, ""Nineteen-fourteen was the birthday of us all""",Barbara Tuchman
11/23/95,Final Jeopardy!,ETHICS,,"Aesculapius, Hygeia, Panacea & Apollo are all mentioned in the first line of this",The Hippocratic Oath
10/28/08,Final Jeopardy!,ASIAN NATIONS,,"Of the world's 11 countries whose English names start with ""A"", the only 2 whose names don't end with ""A""",Afghanistan & Azerbaijan
2/15/08,Final Jeopardy!,AMERICAN POETRY,,"Walt Whitman called this ""the beautiful uncut hair of graves""",grass
11/4/91,Final Jeopardy!,ANCIENT LITERATURE,,More writings of this orator survive than of any other Latin author,Cicero
12/9/09,Final Jeopardy!,HISTORIC AMERICANS,,His collection of books suffered disastrous fires at the home called Shadwell in 1770 & at the Library of Congress in 1851,Thomas Jefferson
6/4/99,Final Jeopardy!,FAMOUS NAMES OF THE 1950s,,"The lyricist of the song ""That's America to Me"" adopted the 2 brothers with this last name, orphaned in 1953",Rosenberg
3/7/08,Final Jeopardy!,HOUSEHOLD PRODUCTS,,"According to its earliest ads, .56% of this product was made up of carbonates, mineral matter & uncombined alkali",Ivory soap
12/30/08,Final Jeopardy!,POLITICAL ROCK & ROLL,,In 2008 John McCain used this 1958 Top 10 hit by Chuck Berry as an anthem for his presidential bid,"\""Johnny B. Goode\"""
10/5/10,Final Jeopardy!,BROADWAY STARS,,In 1955 she became the first & so far only actress to win a Tony for playing a male role in a musical,Mary Martin
12/29/00,Final Jeopardy!,TRAVEL,,"By population, it's the largest city on a Caribbean island, though you may not be allowed to go there","Havana, Cuba"
9/20/89,Final Jeopardy!,LONDON LANDMARKS,,It was built originally on the Whitehall site of a medieval palace used to house visiting Scottish kings,Scotland Yard
12/17/04,Final Jeopardy!,ANNUAL EVENTS,,A high-bounce ball inspired businessman Lamar Hunt to give an annual event this name,the Super Bowl
12/13/00,Final Jeopardy!,MUSICAL THEATRE,,"Currently, this show is performed by 3 troupes; the Liffey & Lagan Companies on tour & the Shannon Company on B'way","\""Riverdance\"""
1/15/90,Final Jeopardy!,U.S. PRESIDENTS,,"Of the 1st 7 presidents, only these 2 were not re-elected",John Adams & John Quincy Adams
4/28/00,Final Jeopardy!,SPORTS CHAMPIONS,,"Winning in 1965 & 1966, he was the first man to win the Masters golf tournament in 2 consecutive years",Jack Nicklaus
6/20/05,Final Jeopardy!,SIGNS & SYMBOLS,,"The official insignia of this profession includes a serpent on a staff, a Greek delta & 32 leaves",dentistry
5/3/11,Final Jeopardy!,AMERICAN POETS,,"""Bearing the bandages, water & sponge, straight & swift to my wounded I go"", he wrote in ""The Wound-Dresser""",Walt Whitman
12/20/05,Final Jeopardy!,AMERICAN BUSINESSMEN,,"This man who died in 1984 remarked, ""We're not in the hamburger business, we're in show business""",Ray Kroc
7/27/07,Final Jeopardy!,LANDMARKS,,"Some of its pieces, which weighed up to 50 tons, were quarried at Marlborough Downs, about 20 miles away",Stonehenge
11/3/08,Final Jeopardy!,PULITZER-WINNING NOVELS,,"From this book's penultimate paragraph: ""There had never been a man she couldn't get, once she set her mind upon him""",Gone with the Wind
6/21/01,Final Jeopardy!,HISTORY & LITERATURE,,"At the beginning of ""A Tale of Two Cities"", these 2 kings sit on the thrones of England & France",George III & Louis XVI
2/7/08,Final Jeopardy!,EUROPE,,"Its use dates back to 1360; on January 1, 2002 Belgium dropped it but Switzerland kept it",the franc
1/11/99,Final Jeopardy!,BUSINESS & INDUSTRY,,McDonald's'  2 most successful promotional campaigns both involved these Happy Meal toys,Beanie Babies
1/17/91,Final Jeopardy!,FAMOUS WOMEN,,1 of 2 women who made the Top 10 on Forbes' list of the highest-earning entertainers of 1989-90,Madonna & Oprah Winfrey
9/29/05,Final Jeopardy!,FAMOUS ENGLISHMEN,,"In 2004 a top entry in a 6,000 mile albatross race was sponsored by a descendant of this man who died in 1834",Samuel Taylor Coleridge
11/10/98,Final Jeopardy!,FAMOUS NEW ENGLANDERS,,"Native New Englander seen <a href=""http://www.j-archive.com/media/1998-11-10_FJ.jpg"" target=""_blank"">here</a>, modeling for his company's catalog sometime before WWI",L.L. Bean
7/16/07,Final Jeopardy!,THE WORLD OF CINEMA,,"In 2006 ""The Nativity Story"" became the first film to have its world premiere in this country, in Paul VI Hall",Vatican City
5/5/06,Final Jeopardy!,U.S. PRESIDENTS,,"Had he lived in ancient Greece, this president would have been called Odysseus",Ulysses S. Grant
4/7/97,Final Jeopardy!,GERMAN OPERA,,"The swan that pulls this title character's boat is actually Elsa's enchanted brother, Gottfried",Lohengrin
9/28/99,Final Jeopardy!,FAMOUS NAMES,,In April 1999 Paul Simon took center field for the dedication of a monument to this man,Joe DiMaggio
11/13/09,Final Jeopardy!,HISTORIC SPEECHES,,"He said, ""We look forward to a world founded upon"" freedom of speech, of worship, from want & from fear",Franklin Delano Roosevelt
7/7/05,Final Jeopardy!,ON THE GLOBE,,"Moving west from Canada, the next 3 countries through which the Arctic Circle passes","USA, Russia, & Finland"
2/4/98,Final Jeopardy!,WORLD LEADERS,,"In a September 18, 1978 speech, he said, ""Blessed are the peacemakers""",President Jimmy Carter
1/2/03,Final Jeopardy!,ACADEMY AWARD WINNERS,,"She won many Oscars, including those for 1949's ""The Heiress"", 1951's ""A Place in the Sun"" & 1973's ""The Sting""",Edith Head
6/5/03,Final Jeopardy!,FIRST NAMES,,"This name of a character in a 1904 play was inspired by a real little girl's way of saying the word ""friend""",Wendy (from Peter Pan)
12/15/99,Final Jeopardy!,OPERA,,A 1920s discovery proved that some of the instruments used in this 1871 opera were historically accurate,"\""Aida\"""
2/23/99,Final Jeopardy!,SYMBOLS,,In 1972 programmer Ray Tomlinson chose it to separate an e-mail user's name from the computer's name,@
7/14/09,Final Jeopardy!,SCIENTISTS,,"He won the 1921 Nobel Prize in Physics primarily for his work on the photoelectric effect, not for relativity",Albert Einstein
3/20/07,Final Jeopardy!,OLYMPIC HISTORY,,"This event was inspired by a legend mentioned in Plutarch's ""On the Glory of Athens""",the marathon
2/28/00,Final Jeopardy!,1999 BOOKS,,This controversial biography of a famous American has a foreign nationality as its title,"\""Dutch\"" (presidential biography of Ronald Reagan by Edmund Morris)"
1/16/04,Final Jeopardy!,THE MOVIES,,They're the 2 2-letter abbreviations in the titles of movies directed by Steven Spielberg,E.T. (E.T. the Extra-Terrestrial) & A.I. (Artificial Intelligence)
7/11/07,Final Jeopardy!,COMMUNICATIONS PIONEERS,,He painted the White House portrait of President Monroe before much wider fame as an inventor in the 1840s,Samuel Morse
2/16/09,Final Jeopardy!,POP CULTURE,,"Also the title of one of the best-selling albums of all time, it was first seen in Russian photos taken in 1959",the dark side of the Moon
1/9/07,Final Jeopardy!,THE 50 STATES,,"Between 1990 & 2004, its pop. grew 36%, edging Florida for the highest growth rate of any state east of Colorado",Georgia
1/15/88,Final Jeopardy!,PRESIDENTS,,"Of the 5 vowels, only these are the 1st letter of a president's last name",A & E
3/12/03,Final Jeopardy!,TELEVISION,,"Milli Vanilli was the first subject of this series, which came from questions like whatever happened to Milli Vanilli",Behind the Music
1/3/03,Final Jeopardy!,CLASSIC LITERATURE,,"In this 3-part work, the main character encounters Nimrod, Ulysses, Muhammad & Thomas Aquinas","\""The Divine Comedy\"""
12/13/01,Final Jeopardy!,U.S. PRESIDENTS & VICE PRESIDENTS,,He's the only man elected vice president twice & elected president twice,Richard Nixon
1/28/11,Final Jeopardy!,DISNEY MOVIES,,"With special sound equipment needed in the auditorium, this 1940 film was initially released in only 14 theaters",Fantasia
2/1/00,Final Jeopardy!,HISTORIC NAMES,,"To honor his work, this man's daughter took the name Maria Celeste when she became a nun in 1616",Galileo
5/2/06,Final Jeopardy!,WORD HISTORY,,"One Mongol tribe or army, it came to mean ""a vast number"" because the fierce Mongol warriors seemed so numerous",a horde
3/26/07,Final Jeopardy!,U.S. CONGRESS,,This state has the largest congressional district in area,Alaska
4/30/02,Final Jeopardy!,INTERNATIONAL FILM DIRECTORS,,"This director of an Oscar-winning film is fighting to preserve Angel Island, site of a former immigration station in S.F. Bay",Ang Lee
5/24/00,Final Jeopardy!,BOOKS & AUTHORS,,"Famous profession of the woman who wrote the 1999 inspirational book ""The Long Program""",Ice/Figure Skater (book written by Peggy Fleming)
1/28/10,Final Jeopardy!,19th CENTURY ARTISTS,,"This Frenchman once said, ""I will astonish Paris with an apple""--<a href=""http://www.j-archive.com/media/2010-01-28_FJ.jpg"" target=""_blank"">here</a> are a few of them",Paul C̩zanne
12/12/02,Final Jeopardy!,OSCAR-WINNING DIRECTORS,,He's the last person to win the Best Director Oscar for a film in which he also starred,Mel Gibson (for Braveheart)
10/30/01,Final Jeopardy!,COLLECTIBLES,,"When he moved into the White House, George W. Bush brought some of his over 150 autographed ones of these",baseballs
6/29/06,Final Jeopardy!,COLLEGES & UNIVERSITIES,,"The main green of this university includes statues of Ira Allen, its founder, & Lafayette, who visited in 1825",the University of Vermont
10/4/04,Final Jeopardy!,POETS,,"Called the 2 most innovative 19th century American poets, one didn't read the other after being ""told that he was disgraceful""",Emily Dickinson & Walt Whitman
1/21/99,Final Jeopardy!,NAMES IN THE NEWS,,In 1998 America's second-largest federal building was named in his honor,Ronald Reagan
6/29/07,Final Jeopardy!,THE CARIBBEAN,,"Columbus sighted this volcanic island in 1493 & gave it a name meaning ""saw-toothed mountain""",Montserrat
11/7/00,Final Jeopardy!,THE MOVIES,,"The night before their first mass jump in 1940, paratroopers at Fort Benning saw a Western about this man",Geronimo
11/9/06,Final Jeopardy!,CELEBRITY RELATIVES,,Her great-great-grandmother Louisa Lane Drew once appeared in a play with the father of John Wilkes Booth,Drew Barrymore
3/27/96,Final Jeopardy!,TRAVEL & TOURISM,,This company established its first village in 1950 in Alcudia on the island of Majorca,Club Med
2/10/10,Final Jeopardy!,AMERICAN HEROES,,"He said, ""I wish to have no connection with any ship that does not sail fast; for I intend to go in harm's way""",John Paul Jones
11/17/89,Final Jeopardy!,U.S. HISTORY,,"The states admitted to the Union in the 20th century were Alaska, Hawaii & these 3","Arizona, New Mexico & Oklahoma"
10/3/11,Final Jeopardy!,REMEMBERING U.S. HISTORY,,"Issued in 2011, a stamp commemorating the 150th anniversary of a major event in U.S. history depicts this stronghold",Fort Sumter
11/1/99,Final Jeopardy!,20th CENTURY AUTHORS,,"His ""Fictional Memoir"" about his last African safari was published in 1999, 38 years after his death",Ernest Hemingway
7/25/08,Final Jeopardy!,ADJECTIVES,,"Meaning ""painful"", it literally refers to the type of pain inflicted on Jesus & on the followers of Spartacus",excruciating
5/18/01,Final Jeopardy!,FAMOUS AMERICANS,,In 1982 a street outside Berlin's Olympic Stadium was renamed in his honor,Jesse Owens
10/4/10,Final Jeopardy!,PRIMETIME TV,,"Now in season 23, its producer says it's the only show with ""no script, no actors, no host & no re-enactments""",COPS
1/28/99,Final Jeopardy!,POETS' CORNER,,"One reason he is not buried in Westminster Abbey is his epitaph, which concludes, ""Curst be he that moves my bones""",William Shakespeare (he's buried at Stratford)
4/10/08,Final Jeopardy!,U.S. AGRICULTURE,,"In the 50 states, the highlighted area seen <a href=""http://www.j-archive.com/media/2008-04-10_FJ.jpg"" target=""_blank"">here</a> is by far the most important for producing this",coffee
5/15/92,Final Jeopardy!,AMERICAN HISTORY,,John Alden was the last surviving signer of this,the Mayflower Compact
7/18/00,Final Jeopardy!,FICTIONAL CHARACTERS,,"A 1965 novel by this author introduced his alter ego, sci-fi writer Kilgore Trout","Kurt Vonnegut, Jr."
6/1/04,Final Jeopardy!,AMERICAN LITERATURE,,"The title object of this 1850 novel is described as ""so fantastically embroidered and illuminated upon her bosom""",The Scarlet Letter
1/10/97,Final Jeopardy!,EXPLORERS,,"Books by this man include ""North West Passage"" (1908) & ""The South Pole"" (1912)",Roald Amundsen
11/2/00,Final Jeopardy!,STATE MOTTOES,,"The state motto of Ohio, adopted in 1959, was ruled unconstitutional in April 2000 as it included this word",God
4/2/96,Final Jeopardy!,U.S. CITY NAME ORIGINS,,"Frederick, Maryland was named for the 6th Baron this",Baltimore (the Barons Baltimore; the Calvert family)
2/21/06,Final Jeopardy!,FAMOUS PAINTERS,,"His twin daughters both married generals, & his portrait of one of his sons-in-law is seen <a href=""http://www.j-archive.com/media/2006-02-21_FJ.jpg"" target=""_blank"">here</a>",Jacques-Louis David
4/1/08,Final Jeopardy!,VICE PRESIDENTS,,He's the only sitting vice president since Martin Van Buren elected to the presidency,George H.W. Bush
12/5/84,Final Jeopardy!,SHOW BUSINESS,,"Barrymore, Rathbone, Roger Moore & Larry Hagman are among 61 actors to play this character",Sherlock Holmes
6/11/07,Final Jeopardy!,ENTERTAINERS OF THE '60s,,He won 3 straight Emmys for dramatic acting & a record 6 straight Grammys for comedy albums,Bill Cosby
12/10/09,Final Jeopardy!,1989 NO. 1 HITS,,The Billboard Book of No. 1 Hits says this song brought mail from history teachers who hailed it as an educational aid,"\""We Didn't Start The Fire\"" (by Billy Joel)"
4/16/03,Final Jeopardy!,THE SECRET SERVICE,,This 20th century U.S. president was the first to receive full-time protection from the Secret Service,Theodore Roosevelt
10/28/98,Final Jeopardy!,GEOGRAPHIC WORDPLAY,,The name of this Asian country contains the name of a Mediterranean volcano,Vietnam (contains the volcano Etna)
1/8/08,Final Jeopardy!,WORLD HISTORY,,This world-changing event was first announced in a Barcelona banquet hall in April 1493,discovery of the New World
10/8/03,Final Jeopardy!,SURVEY SAYS,,"In 1981 this man's company issued its first syndicated CSI, Customer Satisfaction Index",J.D. Power (and Associates)
11/10/09,Final Jeopardy!,ARCHITECTURE,,"De Maupassant, Zola & Dumas fils were among those signing a petition decrying it as ""a gigantic... factory chimney""",the Eiffel Tower
1/26/98,Final Jeopardy!,ANIMALS OF THE NEW WORLD,,"Explorer Cabeza de Vaca wrote about this ""Animal with a pocket on its belly, in which it carries its young""",Opossum/possum
6/18/08,Final Jeopardy!,THE ACADEMY AWARDS,,"In 1981 he received an honorary Oscar for his body of work; a year later, he won an acting Oscar for his final film",Henry Fonda
5/20/97,Final Jeopardy!,THE CIVIL RIGHTS MOVEMENT,,"Martin Luther King, Jr.'s 1963 letter from this city's jail is a historic document in the civil rights movement","Birmingham, Alabama"
3/17/99,Final Jeopardy!,IRISH-BORN AUTHORS,,"Once a drama critic in his native Dublin, he toured the U.S. as an actor's manager, but never visited Romania",Bram Stoker
4/28/98,Final Jeopardy!,THE CALENDAR,,"It's the 5th month mentioned in the rhyme that begins, ""Thirty days hath...""",February
4/29/98,Final Jeopardy!,AWARDS,,This international organization won the first Nobel Peace Prize given after the start of World War II,the [International] Red Cross
5/19/09,Final Jeopardy!,FAMOUS AMERICANS,,"Ayn Rand wrote to him, ""I felt that 'The Fountainhead' had not quite completed its destiny until I had heard from you about it""",Frank Lloyd Wright
9/4/02,Final Jeopardy!,NEW YORK CITY LANDMARKS,,"Moving several times, the first was originally P.T. Barnum's Monster Classical and Geological Hippodrome",Madison Square Garden
7/15/99,Final Jeopardy!,FILMS OF THE '70s,,"1976 film that contains the line: ""...The only truth you know is what you get over this tube!""",Network
5/26/97,Final Jeopardy!,OSCAR-WINNING FILMS,,This ���Best Picture�۝ of 1970 was based in part on the memoirs of General Omar Bradley,Patton
6/22/11,Final Jeopardy!,LITERARY CHARACTERS,,"His ""remarks about the Confederacy... made Atlanta look at him first in bewilderment, then coolly and then with hot rage""",Rhett Butler
5/1/98,Final Jeopardy!,WORDS,,"Merrythought is an old, chiefly British term for this part of a chicken",Wishbone
7/11/06,Final Jeopardy!,BUSINESS FIRSTS,,"On July 20, 1903 this company delivered its first product, purchased by a respected Detroiter",Ford
6/15/10,Final Jeopardy!,THE 50 STATES,,It's the only 2-word state name in which neither word appears in the name of any other state,Rhode Island
6/5/00,Final Jeopardy!,U.S. COLLEGES,,"This college for women was founded by Joseph Taylor, a physician who lived not far from Philadelphia",Bryn Mawr College
10/27/04,Final Jeopardy!,POPULATIONS,,"With only about 425,000 people, it's South America's least populous independent mainland country",Suriname (formerly Dutch Guiana)
4/22/97,Final Jeopardy!,TRANSPORTATION,,"In 1910 the ""Deutschland"" inaugurated commercial passenger service in one of these",Zeppelin/dirigible
3/3/10,Final Jeopardy!,BRITISH HISTORY,,"Dying in 2009 at age 113, British WWI vet Henry Allingham was the last original surviving member of this group, formed 1918",the Royal Air Force
1/22/09,Final Jeopardy!,CELEBRITY MARRIAGES,,"Her 3rd husband won a Best Actor Oscar in the '90s; her 2nd husband, like her dad, is a Rock & Roll Hall of Famer",Lisa Marie Presley
1/30/04,Final Jeopardy!,PRESIDENTIAL FAMILIES,,"The Time Almanac lists only the children from his 1772 marriage, but says there's DNA evidence of more",Thomas Jefferson
1/6/98,Final Jeopardy!,THE OSCARS,,1 of the 2 men who have been nominated for acting Oscars 10 times,Jack Nicholson and/or Sir Laurence Olivier
7/18/05,Final Jeopardy!,ARCHITECTS,,"He called himself ""the man who introduced the glass box and then, 50 years later, broke it""",Philip Johnson
5/8/02,Final Jeopardy!,IN THE DICTIONARY,,"In his dictionary, Samuel Johnson self-effacingly defined this job title in part as ""a harmless drudge""",lexicographer
2/4/86,Final Jeopardy!,ENERGY,,"While U.S. is #2 petroleum producer in the world, this country produces the most",the Soviet Union
11/3/09,Final Jeopardy!,NUMBERS & LETTERS,,It's the world's most common number system & second-most common alphabet,Arabic
6/15/07,Final Jeopardy!,AMERICANA,,The original one of these on Mass.'s Little Brewster Island was built in 1716; automation didn't come until 1998,a lighthouse
5/25/06,Final Jeopardy!,MILITARY HISTORY,,"Lasting about a month, it's the battle for which the most marines earned the Medal of Honor",Iwo Jima
12/23/04,Final Jeopardy!,AUTHORS,,He publicly objected to the name of a 2004 documentary for infringing on the title of one of his books,Ray Bradbury
6/23/97,Final Jeopardy!,U.S. PRESIDENTS,,The Roosevelt dime made its debut the year this president was born,Bill Clinton (born in 1946)
7/4/95,Final Jeopardy!,THE DECLARATION OF INDEPENDENCE,,"1 of the 3 things ""we mutually pledge to each other"" at the end of the Declaration","(1 of) our lives, our fortunes, & our sacred honor"
6/21/04,Final Jeopardy!,INVENTIONS,,"Josephine Cochrane's 1886 version of this consisted of a copper boiler, wire baskets & a pump",a dishwasher
4/27/05,Final Jeopardy!,RELIGIOUS HISTORY,,"From the Greek, the name of this movement of the early Christian era means that its members had knowledge of God",Gnosticism
5/22/01,Final Jeopardy!,BUSINESS & INDUSTRY,,Bluelight.com is the internet shopping site of this retail chain,Kmart
7/16/01,Final Jeopardy!,ANATOMY,,Organ whose workings were the subject of a 1604 work by Johannes Kepler,the eye
9/16/05,Final Jeopardy!,20th CENTURY WOMEN,,"A group chaired by her produced a system that President Bush says now needs ""wise and effective reform""",Frances Perkins
11/23/06,Final Jeopardy!,1970s TELEVISION,,"Bruce Peterson, a NASA test pilot, helped inspire this series; the crash he survived was seen in the show's opening credits",The Six Million Dollar Man
2/8/01,Final Jeopardy!,POLITICIANS,,"A current U.S. governor, he hosted the game show ""Grudge Match"" in 1991",Jesse Ventura
12/2/04,Final Jeopardy!,VOCABULARY,,"This adjective for scholars & ""Jeopardy!"" champs is from the Latin ex, ""out or away"" & rudis, ""rudeness""",erudite
1/18/99,Final Jeopardy!,ENTERTAINERS,,"Lauren Bacall coined this name for a carousing group including Humphrey Bogart, Judy Garland & Frank Sinatra","\""The Rat Pack\"""
10/17/06,Final Jeopardy!,MATH WORDS,,"In Latin the name of this math field meant a pebble used in counting, & the word also has the medical meaning ""stone""",calculus
7/19/10,Final Jeopardy!,MEN OF PARIS,,"When the body of this man who died in 1870 was moved in 2002, a cloth with the motto ""Un pour tous, tous pour un"" was used",Alexandre Dumas
11/26/08,Final Jeopardy!,FOOD BRANDS,,"In 1954 Swift chose this word that means ""a chubby person"" as its new brand's name to convey plumpness & tenderness",Butterball
3/28/07,Final Jeopardy!,LITERARY FIGURES,,"Bono, Jim Sheridan & Liam Neeson were featured in a 2004 documentary honoring the 150th anniversary of the birth of this man",Oscar Wilde
9/4/00,Final Jeopardy!,EXPLORING,,"2 of the 4 flags flown on Mount Everest on May 29, 1953; strangely, New Zealand's wasn't one of them","(2 of) Great Britain, India, Nepal & the United Nations flag"
2/24/06,Final Jeopardy!,FAMOUS AMERICANS,,"Growing up on a farm, Henry Ford didn't ""care much for"" these... ""I never really made friends with them""",horses
11/24/97,Final Jeopardy!,SOUTHERN NOVELISTS,,She based the character of Dill Harris on her childhood friend Truman Capote,Harper Lee (author of To Kill a Mockingbird)
12/4/06,Final Jeopardy!,THE 1950s,,"On a March 9, 1954 broadcast, he famously said, ""We must not confuse dissent with disloyalty""",Edward R. Murrow
6/23/05,Final Jeopardy!,U.S. PRESIDENTS,,He's the only president to have held 2 different cabinet posts: Secretary of State & Secretary of War,James Monroe
11/21/01,Final Jeopardy!,WORLD GEOGRAPHY,,It's the only island whose territory makes up parts of 3 different independent nations,"Borneo (Malaysia, Indonesia & Brunei)"
4/28/11,Final Jeopardy!,U.S. PRESIDENTS,,This president was the first to put solar panels on the White House,Jimmy Carter
4/4/01,Final Jeopardy!,HISTORIC PEOPLE,,A copper statue of this hero of the 1960s welcomes visitors to Star City near Moscow,Yuri Gagarin (first man in space)
9/13/07,Final Jeopardy!,GREAT MOMENTS IN THE 20th CENTURY,,"On 9/20/1904, about 9 months after making a great advance, these 2 made another advance by going in a circle",Orville and Wilbur Wright
11/13/89,Final Jeopardy!,STATE CAPITALS,,2 of the 3 state capitals lying on the Missouri River,"Jefferson City (MO), Bismarck (ND) & Pierre (SD)"
12/1/05,Final Jeopardy!,GEOGRAPHY,,10 million people live in this country that is almost bisected by the second-longest river in Europe,Hungary
9/27/04,Final Jeopardy!,PULITZER PRIZE WINNERS,,"1 of the 2 novels, both Southern, that won the Pulitzer for fiction & became Best Picture Oscar winners",(1 of) Gone with the Wind or All the King's Men
11/15/94,Final Jeopardy!,AFRICAN LANDMARKS,,"Discovered November 16, 1855, its Makalolo name, Mosioatunya, means ""the smoke that thunders""",Victoria Falls
12/13/02,Final Jeopardy!,U.S. HISTORY,,"In 1992 Nathan E. Cook, the last veteran of this war, died",the Spanish-American War
12/18/06,Final Jeopardy!,20th CENTURY PLAYWRIGHTS,,"2006 marks the centennial of this absurdist known for his sometimes bleak outlook; he was born on Good Friday, the 13th",Samuel Beckett
9/23/11,Final Jeopardy!,AMERICAN BUSINESS,,In the 1880s he developed Crystal A Caramels; a product under his own name came out in 1900,Hershey
5/17/05,Final Jeopardy!,FAMILIAR PHRASES,,This 5-word rule or maxim has been attributed to both H. Gordon Selfridge & John Wanamaker,The customer is always right
2/14/05,Final Jeopardy!,STATE SYMBOLS,,"In 1993 it became the first state to adopt an official flavor, which, incidentally, comes from its state tree",Vermont
10/19/98,Final Jeopardy!,HISTORIC LEADERS,,"His 1830 last testament read, ""I aspire to no other glory than the consolidation of Colombia""",Simon Bolivar
10/1/99,Final Jeopardy!,AUTHORS,,In 1995 a library at the Glasgow Veterinary School was named in his honor,James Herriot
6/9/00,Final Jeopardy!,EXPLORATION,,"In 1498 Vasco Da Gama landed at Calicut, India, ""in search of Christians and"" these",Spices
10/27/00,Final Jeopardy!,LANGUAGES,,The eastern variety of this language is based on the dialect of the city of Yerevan & the Ararat Valley,Armenian
5/18/90,Final Jeopardy!,THE SUPREME COURT,,"Son of a famous poet, this oldest justice ever didn't retire until he was 90","Oliver Wendell Holmes, Jr."
7/3/06,Final Jeopardy!,OSCAR-WINNING SINGERS,,2 of the 4 people who've had a Billboard No. 1 pop album & also won a regular acting Oscar,"(2 of) Bing Crosby, Frank Sinatra, Barbra Streisand, & Jamie Foxx"
11/26/04,Final Jeopardy!,19th CENTURY U.S. HISTORY,,"Of the 5 times Congress has declared war, the 3 during the 19th century were against these 3 nations","Britain, Spain, & Mexico"
11/30/99,Final Jeopardy!,JAZZ SINGERS,,Comedian Harry Anderson was among those who gave eulogies at this singer's June 1999 funeral,Mel Torme
4/21/09,Final Jeopardy!,BOOKS ABOUT ACTORS,,"Stefan Kanfer's 2008 biography of this star is titled ""Somebody"", a nod to one of his most famous lines",Marlon Brando
10/8/04,Final Jeopardy!,MEN OF SCIENCE,,"""Somnium"", an early work of science fiction, was written by this German & published posthumously in 1634",Johannes Kepler
10/5/09,Final Jeopardy!,LANDMARKS,,"Its creator said its parts represent our nation's founding, expansion, development & preservation",Mount Rushmore
5/23/06,Final Jeopardy!,THE GLOBE,,"If you dig straight through the Earth's center from Canton, Ohio you'll end up not in China but in this body of water",the Indian Ocean
2/10/09,Final Jeopardy!,20th CENTURY CORRESPONDENCE,,"A telegram from these 2: ""Average speed...thirty-one miles. Longest fifty-nine seconds. Inform press. Home Christmas""",the Wright Brothers
3/28/96,Final Jeopardy!,HISTORIC PEOPLE,,"Apsley House, the London home of this historic duke, boasts an 11' 4"" nude statue of Napoleon",the Duke of Wellington
12/29/04,Final Jeopardy!,ISLANDS,,"Just days after the attack on Pearl Harbor, it became the first U.S. possession occupied by the Japanese",Guam
4/10/03,Final Jeopardy!,HISPANIC AMERICANS,,He won the USA's only boxing gold medal at the 1992 Olympics,Oscar De La Hoya
3/23/10,Final Jeopardy!,THE 50 STATES,,"Benjamin Harrison had the admission orders shuffled, so no one knows which of these 2 states was 39th & which was 40th",North & South Dakota
5/16/07,Final Jeopardy!,19th CENTURY PRESIDENTS,,"There were 5 living former presidents when this president was sworn in, none of whom was of his party",Abraham Lincoln
2/8/08,Final Jeopardy!,NORTH AMERICAN GEOGRAPHY,,"This 1,980-mile river that starts in Canada is the longest in the Western Hemisphere that flows to the Pacific Ocean",the Yukon River
9/25/00,Final Jeopardy!,THE U.S. POPULATION,,"An August 1999 government report told of the strain on schools from the ""echo"" of this","The \""Baby Boom\"""
6/9/97,Final Jeopardy!,AFRICA,,In the 1980s the U.S.-backed FNLA & UNITA battled the Cuban-backed MPLA for control of this country,Angola
3/22/06,Final Jeopardy!,U.S. STATES,,"A popular nickname of this state comes from a plant, Poa pratensis, that covers the state",Kentucky
11/8/91,Final Jeopardy!,ACTRESSES & THEIR ROLES,,This American actress won a 1960 Tony & a 1962 Oscar for playing the same teacher,Anne Bancroft
6/12/01,Final Jeopardy!,FAMOUS FAMILIES,,"Members of this family received a 1952 Pulitzer Prize, a 1954 Nobel & a 1979 Oscar nomination",Hemingway (Ernest & his daughter Mariel)
11/9/99,Final Jeopardy!,HISTORIC AMERICANS,,"This Virginian, beloved in peace & war, is featured on the Great Seal of the Confederacy",George Washington
9/10/07,Final Jeopardy!,AUTHORS,,"In 1949 he wrote, ""If you want a picture of the future, imagine a boot stamping on a human face--forever""",George Orwell
4/12/99,Final Jeopardy!,THE 1980s,,"On January 20, 1981 the U.S. released about $8 billion of this country's assets it had frozen",Iran
3/25/08,Final Jeopardy!,ANCIENT NAMES,,"Appropriately, the name of this dramatist comes from Greek words meaning ""wise"" & ""famous""",Sophocles
10/9/09,Final Jeopardy!,THE U.S. SENATE,,"This man, only the third man to serve his state in the U.S. Senate, left the body in 2009",Ted Stevens
4/9/07,Final Jeopardy!,BEST PICTURE OSCAR WINNERS,,It's the last Best Picture winner with a real person's name in the title (a person who lived 400 years ago),Shakespeare in Love
11/20/02,Final Jeopardy!,AMERICANA,,Baptist minister Francis Bellamy penned this oath in 1892 to reflect his Christian Socialist beliefs,the Pledge of Allegiance
